timestamp,m1_pos,m1_vel,m1_torque,m2_pos,m2_vel,m2_torque,ch6_max,ch7_max,ch6_new,ch7_new,m1_label,m2_label
35022,-7.337983,2.699804,0.003906,19.971647,5.203259,0.0,3.263733,2.927025,1.0,1.0,1,2
35024,-7.322068,1.448077,0.0,20.013832,5.620501,0.0,3.263733,2.927025,1.0,1.0,1,2
35035,-7.309221,1.521708,0.0,20.058701,4.859647,0.003906,3.263733,2.927025,1.0,1.0,1,2
35037,-7.297141,1.030834,0.0,20.095707,4.638754,0.0,3.263733,2.927025,1.0,1.0,1,2
35054,-7.285253,1.718057,0.0,20.131948,4.540579,0.0,3.263733,2.927025,1.0,1.0,1,2
35056,-7.272405,1.693513,0.0,20.168571,5.27689,0.0,3.263733,2.927025,1.0,1.0,1,2
35066,-7.254765,1.865319,0.0,20.213249,5.743219,-0.003906,3.263733,2.927025,1.0,1.0,1,2
35084,-7.230029,3.460658,0.0,20.257351,4.638754,0.0,3.263733,2.927025,1.0,1.0,1,2
35085,-7.198583,4.687841,-0.003906,20.296659,4.835104,0.0,3.263733,2.927025,1.0,1.0,1,2
35087,-7.15448,4.663298,0.007812,20.339609,4.859647,0.0,3.263733,2.927025,1.0,1.0,1,2
35097,-7.118815,2.994328,0.003906,20.378344,3.902444,0.003906,3.263733,2.927025,1.0,1.0,1,2
35116,-7.095039,2.601629,0.007812,20.403845,2.87161,0.003906,3.263733,2.927025,1.0,1.0,1,2
35118,-7.076439,1.374446,0.007812,20.422253,1.988037,0.003906,3.263733,2.927025,1.0,1.0,0,2
35127,-7.070303,0.319068,0.0,20.434717,1.398989,-0.007812,3.263733,2.927025,1.0,1.0,0,2
35146,-7.070112,-0.417242,-0.003906,20.452358,2.184387,-0.003906,3.263733,2.927025,1.0,1.0,0,2
35148,-7.06992,0.319068,-0.003906,20.4723,2.552542,0.0,3.263733,2.927025,1.0,1.0,0,2
35149,-7.070112,-0.294524,-0.003906,20.493391,3.288852,-0.003906,3.263733,2.927025,1.0,1.0,0,2
35171,-7.06992,0.0,0.003906,20.521194,3.485202,0.0,3.263733,2.927025,1.0,1.0,0,2
35173,-7.070112,-0.098175,-0.003906,20.548615,3.166134,0.0,3.263733,2.927025,1.0,1.0,0,2
35190,-7.071071,-0.319068,0.0,20.576611,3.215221,0.003906,3.263733,2.927025,1.0,1.0,0,2
35191,-7.072029,-0.319068,0.0,20.599428,2.527998,0.007812,3.263733,2.927025,1.0,1.0,0,2
35214,-7.072221,-0.073631,-0.003906,20.614,2.282562,0.0,3.263733,2.927025,1.0,1.0,0,0
35215,-7.069537,0.490873,0.0,20.627039,0.957203,0.003906,3.263733,2.927025,1.0,1.0,0,0
35217,-7.057265,1.963494,-0.003906,20.631641,0.46633,0.0,3.263733,2.927025,1.0,1.0,0,0
35220,-7.031762,3.706095,-0.007812,20.631834,-0.024544,0.0,3.263733,2.927025,1.0,1.0,0,0
35243,-7.001658,3.755182,-0.003906,20.631834,0.245437,0.0,3.263733,2.927025,1.0,1.0,0,0
35244,-6.969444,3.166134,0.0,20.631451,0.220893,-0.003906,3.263733,2.927025,1.0,1.0,0,0
